(c) Der Bundeswahlleiter (im Auftrag der Herausgebergemeinschaft), Wiesbaden 2018

Ergebnisse der Wahlbezirksstatistik zur Bundestagswahl 1990 (Leitband)

"Wahlkreis";"Land";"Regierungsbezirk";"Kreis";"Verbandsgemeinde";"Gemeinde";"Name";"Gemeindegröße"
"000";"01";"0";"00";"000";"000";"SCHLESWIG-HOLSTEIN ";"00"
"000";"01";"0";"01";"000";"000";"FLENSBURG (001)";"00"
"000";"01";"0";"02";"000";"000";"KIEL (005) ";"00"
"000";"01";"0";"03";"000";"000";"LUEBECK (011)";"00"
"000";"01";"0";"04";"000";"000";"NEUMUENSTER (006)";"00"
"000";"01";"0";"51";"000";"000";"DITHMARSCHEN (002,003) ";"00"
"000";"01";"0";"53";"000";"000";"HERZOGTUM LAUENBURG (010)";"00"
"000";"01";"0";"54";"000";"000";"NORDFRIESLAND (002)";"00"
"000";"01";"0";"55";"000";"000";"OSTHOLSTEIN (009)";"00"
"000";"01";"0";"56";"000";"000";"PINNEBERG (007)";"00"
"000";"01";"0";"57";"000";"000";"PLOEN (006)";"00"
"000";"01";"0";"58";"000";"000";"RENDSBURG-ECKERNFOERDE (004) ";"00"
"000";"01";"0";"59";"000";"000";"SCHLESWIG-FLENSBURG (001)";"00"
"000";"01";"0";"60";"000";"000";"SEGEBERG (008) ";"00"
"000";"01";"0";"61";"000";"000";"STEINBURG (003)";"00"
"000";"01";"0";"62";"000";"000";"STORMARN (008,010) ";"00"
"000";"02";"0";"00";"000";"000";"HAMBURG (012-018)";"00"
"000";"02";"0";"00";"000";"000";"HAMBURG";"00"
"000";"03";"0";"00";"000";"000";"NIEDERSACHSEN";"00"
"000";"03";"1";"01";"000";"000";"BRAUNSCHWEIG (045) ";"00"
"000";"03";"1";"02";"000";"000";"SALZGITTER (044) ";"00"
"000";"03";"1";"03";"000";"000";"WOLFSBURG (046)";"00"
"000";"03";"1";"51";"000";"000";"GIFHORN (040)";"00"
"000";"03";"1";"52";"000";"000";"GOETTINGEN (049) ";"00"
"000";"03";"1";"53";"000";"000";"GOSLAR (047) ";"00"
"000";"03";"1";"54";"000";"000";"HELMSTEDT (046)";"00"
"000";"03";"1";"55";"000";"000";"NORTHEIM (048) ";"00"
"000";"03";"1";"56";"000";"000";"OSTERODE AM HARZ (047,048) ";"00"
"000";"03";"1";"57";"000";"000";"PEINE (040)";"00"
"000";"03";"1";"58";"000";"000";"WOLFENBUETTEL (044)";"00"
"000";"03";"2";"01";"000";"000";"HANNOVER (036,037) ";"00"
"000";"03";"2";"51";"000";"000";"DIEPHOLZ (028) ";"00"
"000";"03";"2";"52";"000";"000";"HAMELN-PYRMONT (041) ";"00"
"000";"03";"2";"53";"000";"000";"HANNOVER (038,042) ";"00"
"000";"03";"2";"54";"000";"000";"HILDESHEIM (043) ";"00"
"000";"03";"2";"55";"000";"000";"HOLZMINDEN (041) ";"00"
"000";"03";"2";"56";"000";"000";"NIENBURG (WESER) (034) ";"00"
"000";"03";"2";"57";"000";"000";"SCHAUMBURG (034) ";"00"
"000";"03";"3";"51";"000";"000";"CELLE (039)";"00"
"000";"03";"3";"52";"000";"000";"CUXHAVEN (024) ";"00"
"000";"03";"3";"53";"000";"000";"HARBURG (035)";"00"
"000";"03";"3";"54";"000";"000";"LUECHOW-DANNENBERG (031) ";"00"
"000";"03";"3";"55";"000";"000";"LUENEBURG (031)";"00"
"000";"03";"3";"56";"000";"000";"OSTERHOLZ (029)";"00"
"000";"03";"3";"57";"000";"000";"ROTENBURG (WUEMME) (025,030) ";"00"
"000";"03";"3";"58";"000";"000";"SOLTAU-FALLINGBOSTEL (030) ";"00"
"000";"03";"3";"59";"000";"000";"STADE (025)";"00"
"000";"03";"3";"60";"000";"000";"UELZEN (039) ";"00"
"000";"03";"3";"61";"000";"000";"VERDEN (029) ";"00"
"000";"03";"4";"01";"000";"000";"DELMENHORST (023)";"00"
"000";"03";"4";"02";"000";"000";"EMDEN (019)";"00"
"000";"03";"4";"03";"000";"000";"OLDENBURG (OLDENBURG) (022)";"00"
"000";"03";"4";"04";"000";"000";"OSNABRUECK (033) ";"00"
"000";"03";"4";"05";"000";"000";"WILHELMSHAVEN (021)";"00"
"000";"03";"4";"51";"000";"000";"AMMERLAND (022)";"00"
"000";"03";"4";"52";"000";"000";"AURICH (019) ";"00"
"000";"03";"4";"53";"000";"000";"CLOPPENBURG (027)";"00"
"000";"03";"4";"54";"000";"000";"EMSLAND (020,026)";"00"
"000";"03";"4";"55";"000";"000";"FRIESLAND (021,022)";"00"
"000";"03";"4";"56";"000";"000";"GRAFSCHAFT BENTHEIM (026)";"00"
"000";"03";"4";"57";"000";"000";"LEER (020) ";"00"
"000";"03";"4";"58";"000";"000";"OLDENBURG (OLDENBURG) (023)";"00"
"000";"03";"4";"59";"000";"000";"OSNABRUECK (032,033) ";"00"
"000";"03";"4";"60";"000";"000";"VECHTA (027) ";"00"
"000";"03";"4";"61";"000";"000";"WESERMARSCH (023)";"00"
"000";"03";"4";"62";"000";"000";"WITTMUND (021) ";"00"
"000";"04";"0";"00";"000";"000";"BREMEN ";"00"
"000";"04";"0";"11";"000";"000";"BREMEN (050-052) ";"00"
"000";"04";"0";"12";"000";"000";"BREMERHAVEN (052)";"00"
