,Wahlkreis,Gebiet,Wahlberechtigte,Wähler,Ungültige,Ungültige:2,Gültige,Gültige:2,CDU/CSU,CDU/CSU_prev,CDU/CSU:2,CDU/CSU:2_prev,SPD,SPD_prev,SPD:2,SPD:2_prev,FDP,FDP_prev,FDP:2,FDP:2_prev,GRUENE,GRUENE_prev,GRUENE:2,GRUENE:2_prev,LINKE,LINKE_prev,LINKE:2,LINKE:2_prev,AFD,AFD_prev,AFD:2,AFD:2_prev,KPD,KPD_prev,KPD:2,KPD:2_prev,BHE,BHE_prev,BHE:2,BHE:2_prev,OTHER,OTHER_prev,OTHER:2,OTHER:2_prev
2,001,FLENSBURG  SCHLESWIG,191090,170022,1077,735,168945,169287,74116,0,73110,0,82827,0,80555,0,10989,0,14582,0,0,0,0,0,0,0,0,0,0,0,0,0,484,0,362,0,0,0,0,0,529,0,678,0
3,002,NORDFRIESLAND  DITHMARSCHEN-NORD,156065,138471,1290,702,137181,137769,66000,0,66319,0,59683,0,58184,0,10512,0,12381,0,0,0,0,0,0,0,0,0,0,0,0,0,306,0,265,0,0,0,0,0,680,0,620,0
4,003,STEINBURG  DITHMARSCHEN-SUED,148132,134536,937,794,133599,133742,64664,0,63429,0,59970,0,59560,0,7804,0,9712,0,0,0,0,0,0,0,0,0,0,0,0,0,404,0,325,0,0,0,0,0,757,0,716,0
5,004,RENDSBURG-ECKERNFOERDE,172119,155657,1357,729,154300,154928,70472,0,70431,0,73615,0,70615,0,9398,0,12928,0,0,0,0,0,0,0,0,0,0,0,0,0,380,0,340,0,0,0,0,0,435,0,614,0
6,005,KIEL,189024,169426,1323,603,168103,168823,60789,0,60995,0,96237,0,92177,0,9576,0,14208,0,0,0,0,0,0,0,0,0,0,0,0,0,686,0,634,0,0,0,0,0,815,0,809,0
7,006,PLOEN  NEUMUENSTER,146055,132955,1061,564,131894,132391,57978,0,57563,0,64755,0,63826,0,7909,0,10060,0,0,0,0,0,0,0,0,0,0,0,0,0,377,0,403,0,0,0,0,0,875,0,539,0
8,007,PINNEBERG,182184,167726,1651,859,166075,166867,74184,0,73718,0,76726,0,74411,0,13784,0,17464,0,0,0,0,0,0,0,0,0,0,0,0,0,841,0,763,0,0,0,0,0,540,0,511,0
9,008,SEGEBERG  STORMARN-NORD,182174,166597,1141,711,165456,165886,78564,0,77631,0,72872,0,69646,0,12822,0,17512,0,0,0,0,0,0,0,0,0,0,0,0,0,477,0,431,0,0,0,0,0,721,0,666,0
10,009,OSTHOLSTEIN,131626,119363,1327,597,118036,118766,55324,0,54894,0,54196,0,54048,0,7628,0,9011,0,0,0,0,0,0,0,0,0,0,0,0,0,256,0,263,0,0,0,0,0,632,0,550,0
11,010,HERZOGTUM LAUENBURG  STORMARN-SUED,190759,176202,1708,863,174494,175339,81097,0,80345,0,78647,0,76223,0,13545,0,17535,0,0,0,0,0,0,0,0,0,0,0,0,0,699,0,631,0,0,0,0,0,506,0,605,0
12,011,LUEBECK,174805,156996,1453,708,155543,156288,62114,0,62492,0,84073,0,80354,0,8040,0,12229,0,0,0,0,0,0,0,0,0,0,0,0,0,537,0,520,0,0,0,0,0,779,0,693,0
13,901,SCHLESWIG-HOLSTEIN,1864033,1687951,14325,7865,1673626,1680086,745302,0,740927,0,803601,0,779599,0,112007,0,147622,0,0,0,0,0,0,0,0,0,0,0,0,0,5447,0,4937,0,0,0,0,0,7269,0,7001,0
15,012,HAMBURG-MITTE,134520,117856,856,604,117000,117252,39171,0,38891,0,67488,0,66566,0,8325,0,9833,0,0,0,0,0,0,0,0,0,0,0,0,0,1602,0,1275,0,0,0,0,0,414,0,687,0
16,013,ALTONA,163415,148449,736,587,147713,147862,58612,0,57476,0,74009,0,72250,0,12599,0,16114,0,0,0,0,0,0,0,0,0,0,0,0,0,1485,0,1223,0,0,0,0,0,1008,0,799,0
17,014,EIMSBUETTEL,184509,167629,974,688,166655,166941,61704,0,61526,0,87070,0,83962,0,14673,0,18635,0,0,0,0,0,0,0,0,0,0,0,0,0,2383,0,1863,0,0,0,0,0,825,0,955,0
18,015,HAMBURG-NORD I,142731,130589,814,615,129775,129974,49309,0,49081,0,68308,0,64583,0,9750,0,14185,0,0,0,0,0,0,0,0,0,0,0,0,0,1777,0,1391,0,0,0,0,0,631,0,734,0
19,016,HAMBURG-NORD II,160106,146600,813,631,145787,145969,47332,0,47657,0,81998,0,82612,0,14246,0,13710,0,0,0,0,0,0,0,0,0,0,0,0,0,1682,0,1351,0,0,0,0,0,529,0,639,0
20,017,WANDSBECK,179178,166291,905,598,165386,165693,67189,0,66579,0,79810,0,76689,0,16351,0,20678,0,0,0,0,0,0,0,0,0,0,0,0,0,1434,0,1078,0,0,0,0,0,602,0,669,0
21,018,BERGEDORF,180748,165418,837,715,164581,164703,55617,0,56260,0,98286,0,91418,0,8756,0,15221,0,0,0,0,0,0,0,0,0,0,0,0,0,1421,0,1167,0,0,0,0,0,501,0,637,0
22,019,HARBURG,142266,130250,726,557,129524,129693,41998,0,41524,0,76022,0,76204,0,9899,0,10593,0,0,0,0,0,0,0,0,0,0,0,0,0,921,0,823,0,0,0,0,0,684,0,549,0
23,902,HAMBURG,1287473,1173082,6661,4995,1166421,1168087,420932,0,418994,0,632991,0,614284,0,94599,0,118969,0,0,0,0,0,0,0,0,0,0,0,0,0,12705,0,10171,0,0,0,0,0,5194,0,5669,0
25,020,EMDEN  LEER,196712,177720,5124,5367,172596,172353,64474,0,65213,0,99112,0,95170,0,7698,0,10778,0,0,0,0,0,0,0,0,0,0,0,0,0,684,0,630,0,0,0,0,0,628,0,562,0
26,021,WILHELMSHAVEN,196892,174799,6680,3272,168119,171527,65931,0,67899,0,90448,0,89308,0,10470,0,13262,0,0,0,0,0,0,0,0,0,0,0,0,0,575,0,449,0,0,0,0,0,695,0,609,0
27,022,OLDENBURG,197034,175250,5210,3314,170040,171936,67202,0,68291,0,81055,0,80048,0,19527,0,21724,0,0,0,0,0,0,0,0,0,0,0,0,0,1260,0,955,0,0,0,0,0,996,0,918,0
28,023,DELMENHORST  WESERMARSCH,155032,138329,4028,3560,134301,134769,51854,0,51500,0,69139,0,68584,0,12053,0,13698,0,0,0,0,0,0,0,0,0,0,0,0,0,500,0,404,0,0,0,0,0,755,0,583,0
29,024,CUXHAVEN,140319,125735,2138,2870,123597,122865,59345,0,56617,0,56746,0,55978,0,6741,0,9390,0,0,0,0,0,0,0,0,0,0,0,0,0,374,0,350,0,0,0,0,0,391,0,530,0
30,025,STADE,164572,149186,3030,2976,146156,146210,73422,0,71254,0,63210,0,62754,0,8425,0,11088,0,0,0,0,0,0,0,0,0,0,0,0,0,401,0,319,0,0,0,0,0,698,0,795,0
31,026,EMSLAND,142883,132126,3656,4332,128470,127794,79896,0,78790,0,42272,0,42047,0,5151,0,6232,0,0,0,0,0,0,0,0,0,0,0,0,0,842,0,336,0,0,0,0,0,309,0,389,0
32,027,CLOPPENBURG,153692,142639,3749,4918,138890,137721,100948,0,98036,0,31125,0,32167,0,6201,0,6924,0,0,0,0,0,0,0,0,0,0,0,0,0,372,0,257,0,0,0,0,0,244,0,337,0
33,028,HOYA,141518,128968,2612,3811,126356,125157,59933,0,58962,0,57574,0,52750,0,8176,0,12629,0,0,0,0,0,0,0,0,0,0,0,0,0,345,0,307,0,0,0,0,0,328,0,509,0
34,029,VERDEN,181740,166593,2690,4011,163903,162582,75308,0,74896,0,79467,0,73212,0,7868,0,13287,0,0,0,0,0,0,0,0,0,0,0,0,0,591,0,522,0,0,0,0,0,669,0,665,0
35,030,SOLTAU  HARBURG,210685,193478,3164,3419,190314,190059,96594,0,95256,0,77211,0,75377,0,15236,0,18145,0,0,0,0,0,0,0,0,0,0,0,0,0,540,0,464,0,0,0,0,0,733,0,817,0
36,031,LUENEBURG  LUECHOW-DANNENBERG,162390,147515,3782,2467,143733,145048,73526,0,72336,0,60262,0,60398,0,8483,0,11125,0,0,0,0,0,0,0,0,0,0,0,0,0,402,0,392,0,0,0,0,0,1060,0,797,0
37,032,LINGEN,147795,136763,2855,3428,133908,133335,86237,0,83408,0,42737,0,43128,0,4300,0,6247,0,0,0,0,0,0,0,0,0,0,0,0,0,415,0,260,0,0,0,0,0,219,0,292,0
38,033,OSNABRUECK,205074,188892,3417,4043,185475,184849,90595,0,89353,0,83436,0,80020,0,10223,0,14435,0,0,0,0,0,0,0,0,0,0,0,0,0,463,0,432,0,0,0,0,0,758,0,609,0
39,034,NIENBURG,179318,163138,3516,4855,159622,158283,78565,0,75872,0,67828,0,66108,0,12353,0,15344,0,0,0,0,0,0,0,0,0,0,0,0,0,376,0,322,0,0,0,0,0,500,0,637,0
40,035,SCHAUMBURG,215632,199070,5948,3580,193122,195490,81490,0,83823,0,100409,0,95893,0,10347,0,14899,0,0,0,0,0,0,0,0,0,0,0,0,0,547,0,425,0,0,0,0,0,329,0,450,0
41,036,HANNOVER I,171195,154857,1644,1969,153213,152888,58721,0,58605,0,81094,0,78274,0,11757,0,14703,0,0,0,0,0,0,0,0,0,0,0,0,0,998,0,760,0,0,0,0,0,643,0,546,0
42,037,HANNOVER II,159352,144575,1563,1941,143012,142634,53064,0,52736,0,78117,0,75304,0,10349,0,13344,0,0,0,0,0,0,0,0,0,0,0,0,0,977,0,816,0,0,0,0,0,505,0,434,0
43,038,HANNOVER III,214279,198786,4568,2520,194218,196266,83167,0,82283,0,95613,0,94272,0,14017,0,18580,0,0,0,0,0,0,0,0,0,0,0,0,0,757,0,580,0,0,0,0,0,664,0,551,0
44,039,CELLE,220022,201183,3240,2985,197943,198198,97447,0,97098,0,87058,0,82990,0,11850,0,16611,0,0,0,0,0,0,0,0,0,0,0,0,0,562,0,490,0,0,0,0,0,1026,0,1009,0
45,040,GIFHORN,185770,171644,4552,4114,167092,167530,80751,0,79183,0,76993,0,76909,0,8282,0,10517,0,0,0,0,0,0,0,0,0,0,0,0,0,337,0,350,0,0,0,0,0,729,0,571,0
